ID,Nome,Email,Idade,Gênero,Altura,Peso,IMC,Objetivo,Frequência_Semanal,Tempo_de_Assinatura,Plano,Presenças_Último_Mês,Churn
1,Aluno_1,aluno_1@exemplo.com,56,Masculino,1.72,56.3,19.0,Ganhar Massa,4,20,Trimestral,14,0
2,Aluno_2,aluno_2@exemplo.com,46,Feminino,1.62,75.4,28.7,Condicionamento,4,5,Mensal,13,0
3,Aluno_3,aluno_3@exemplo.com,32,Feminino,1.81,80.6,24.6,Condicionamento,5,1,Mensal,6,0
4,Aluno_4,aluno_4@exemplo.com,25,Masculino,1.71,85.4,29.2,Perda de Peso,5,30,Mensal,19,1
5,Aluno_5,aluno_5@exemplo.com,38,Feminino,1.79,61.7,19.3,Condicionamento,1,3,Mensal,1,0
6,Aluno_6,aluno_6@exemplo.com,56,Feminino,1.81,67.0,20.5,Ganhar Massa,2,14,Anual,6,0
7,Aluno_7,aluno_7@exemplo.com,36,Feminino,1.6,72.4,28.3,Ganhar Massa,5,30,Anual,5,0
8,Aluno_8,aluno_8@exemplo.com,40,Feminino,1.84,90.5,26.7,Ganhar Massa,4,4,Trimestral,16,0
9,Aluno_9,aluno_9@exemplo.com,28,Masculino,1.79,71.1,22.2,Ganhar Massa,3,18,Trimestral,1,0
10,Aluno_10,aluno_10@exemplo.com,28,Masculino,1.64,85.5,31.8,Condicionamento,4,25,Anual,2,0
11,Aluno_11,aluno_11@exemplo.com,41,Feminino,1.73,71.7,24.0,Condicionamento,2,1,Anual,4,0
12,Aluno_12,aluno_12@exemplo.com,53,Feminino,1.73,81.5,27.2,Ganhar Massa,4,15,Mensal,4,0
13,Aluno_13,aluno_13@exemplo.com,57,Masculino,1.7,80.3,27.8,Ganhar Massa,1,9,Mensal,0,0
14,Aluno_14,aluno_14@exemplo.com,41,Masculino,1.79,71.7,22.4,Condicionamento,2,15,Trimestral,7,0
15,Aluno_15,aluno_15@exemplo.com,20,Feminino,1.84,59.8,17.7,Ganhar Massa,3,24,Anual,11,0
16,Aluno_16,aluno_16@exemplo.com,39,Masculino,1.7,67.3,23.3,Perda de Peso,1,4,Trimestral,3,0
17,Aluno_17,aluno_17@exemplo.com,19,Feminino,1.83,84.9,25.4,Ganhar Massa,2,12,Anual,12,0
18,Aluno_18,aluno_18@exemplo.com,41,Feminino,1.8,78.8,24.3,Ganhar Massa,3,6,Mensal,14,0
19,Aluno_19,aluno_19@exemplo.com,47,Masculino,1.72,65.7,22.2,Perda de Peso,1,24,Trimestral,10,0
20,Aluno_20,aluno_20@exemplo.com,55,Masculino,1.72,66.6,22.5,Perda de Peso,1,11,Trimestral,9,1
21,Aluno_21,aluno_21@exemplo.com,19,Feminino,1.58,52.7,21.1,Condicionamento,2,13,Anual,2,0
22,Aluno_22,aluno_22@exemplo.com,38,Feminino,1.55,84.4,35.1,Condicionamento,5,34,Mensal,13,1
23,Aluno_23,aluno_23@exemplo.com,50,Masculino,1.72,78.9,26.7,Perda de Peso,1,25,Trimestral,15,0
24,Aluno_24,aluno_24@exemplo.com,29,Feminino,1.61,68.6,26.5,Perda de Peso,1,7,Mensal,9,0
